location,IDPs,Migrants,Host,Refugee,Returnee,Total
YE18142810100,5,,,,,5
YE18142411000,,,5,,,5
YE18142410900,,,5,,,5
YE18142210200,5,,,,,5
YE18142210500,,,5,,,5
YE18252311000,5,,,,,5
YE18252310500,,,5,,,5
YE18252210600,10,,,,,10
YE18252510100,5,,,,,5
YE12112100107,,,5,,,5
YE18252110200,,,5,,,5
YE18252110400,,,5,,,5
YE18252112300,,,5,,,5
YE18252410300,5,,,,,5
YE18112210700,5,,,,,5
YE18112200101,10,,,,,10
YE18112210100,5,,5,,,10
YE18142100130,,,5,,,5
YE18112110800,,,5,,,5
YE18232100106,15,,,,100,115
YE18232110100,5,0,0,35,25,65
YE18112200130,,,5,,,5
YE18232100140,,,5,,,5
YE18232100150,,,5,,,5
YE18212100101,10,0,0,15,0,25
YE18212110100,10,,,,15,25
YE18232100160,,,5,,,5
YE18212100170,,,5,,,5
YE18212100180,,,5,,,5
YE18202110200,,,5,,,5
YE18212100190,,,5,,,5
YE18202100101,10,0,0,75,0,85
YE18202311000,,,5,,,5
YE18202211800,5,,,,,5
YE18202210300,,,5,,,5
YE18162111500,,,5,,,5
YE18162112000,,,5,,,5
YE18202100130,,,5,,,5
YE18162110400,5,,,,,5
YE18162111700,5,,,,,5
YE18162210200,,,5,,,5
YE18162210600,,,5,,,5
YE18162210500,5,,,,,5
YE18132511200,5,,,,,5
YE18132910100,,,5,,,5
YE18133011900,,,5,,,5
YE18132110500,5,,,,,5
YE18132100101,10,,,,,10
YE18162100130,,,5,,,5
YE18082210200,,,5,,,5
YE18082210100,5,,,,,5
YE18082310200,5,,5,,,10
YE18082310300,5,,,,,5
YE18132100130,,,5,,,5
YE18082310400,,,5,,,5
YE18082110100,5,,,,,5
YE18082110600,,,5,,,5
YE18082110500,5,,,,,5
YE18222100101,25,,,,,25
YE18222100106,,,,5,,5
YE18222100103,,,10,,,10
YE18222100105,,,5,,,5
YE18222100117,,,5,,,5
YE18222100113,,,5,,,5
YE18082300130,,,,15,,15
YE18052110900,5,,5,,,10
YE18052110800,5,,,,,5
YE18052115800,5,,,,,5
YE18052110200,,,5,,,5
YE18052112000,,,5,,,5
YE18222100130,,,5,,,5
YE18062510500,,,5,,,5
YE18062510100,,,5,,,5
YE18062410900,,,5,,,5
YE18062411400,,,5,,,5
YE18062100101,10,,,,,10
YE18062113900,5,,,,,5
YE18062111700,5,,5,,,10
YE18062114100,5,,,,,5
YE18023300201,5,0,5,0,0,10
YE18022611300,,,5,,,5
YE18022100101,5,,,,,5
YE18025910300,,,5,,,5
YE18022811100,,,5,,,5
YE18022810900,,,5,,,5
YE18023210100,5,,,,,5
YE18022411300,5,,,,,5
YE18022410700,5,,,,,5
YE18042110200,,,10,,,10
YE18042100101,5,0,5,0,5,15
YE18042110100,10,,,,15,25
YE18152111400,5,,,,,5
YE18152211300,,,5,,,5
YE18152210200,,,5,,,5
YE18152210400,5,,,,,5
YE18152212000,,,5,,,5
YE18152212500,,,5,,,5
YE18152211900,,,5,,,5
YE18152212100,10,,,,,10
YE18262100101,5,,,,20,25
YE18262110300,,,10,,,10
YE18262110400,,,5,,,5
YE18052100130,,,5,,,5
YE18262610200,5,,,,,5
YE18262510200,5,,,,,5
YE18262310100,10,,5,,,15
YE18072211500,,,5,,,5
YE18072210800,5,,,,,5
YE18072211200,,,5,,,5
YE18072100101,20,,,,,20
YE18072111200,,,5,,,5
YE18072411200,,,5,,,5
YE18072300301,,,5,,,5
YE18012610200,,,5,,,5
YE18012515900,,,5,,,5
YE18012100301,5,,,,,5
YE18012210100,5,,,,,5
YE18012210600,5,,,,,5
YE18012411000,,,5,,,5
YE18012311400,5,,,,,5
YE18102211900,,,5,,,5
YE18102210500,5,,,,,5
YE18102311100,,,5,,,5
YE18102100101,10,,,,,10
YE18262100130,,,5,,,5
YE18172411000,,,5,,,5
YE18172300201,,,5,,,5
YE18172316400,,,5,,,5
YE18172320700,,,5,,,5
YE18172211300,,,5,,,5
YE18172813100,5,,,,,5
YE18172812800,5,,,,,5
YE18172812200,5,,,,,5
YE18172110100,5,,,,,5
YE18172100101,5,,,,,5
YE18122210600,5,,,,,5
YE18122211300,5,,,,,5
YE18122210700,5,,,,,5
YE18122410400,,,5,,,5
YE18122410700,,,5,,,5
YE18122410500,,,5,,,5
YE18122100100,5,,,,,5
YE18122710700,,,5,,,5
YE18122710200,5,,,,,5
YE18122510800,,,5,,,5
